xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.186133;0.0751247;0.0751247;0.915459;0.915459;-2.77556e-17;0;0.000195313;2.96059e-17;2.96059e-17;0;47;39;0.205386
0.186328;0.0753037;0.0753037;0.917045;0.917045;-4.16334e-17;0;0.000195313;4.44089e-17;4.44089e-17;0;48;39;0.20565
0.186523;0.0754829;0.0754829;0.918635;0.918635;-2.77556e-17;0;0.000195313;2.96059e-17;2.96059e-17;0;48;40;0.205916
0.186719;0.0756625;0.0756625;0.920228;0.920228;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;49;40;0.206181
0.186914;0.0758424;0.0758424;0.921824;0.921824;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;49;40;0.206446
0.187109;0.0760226;0.0760226;0.923424;0.923424;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;49;40;0.206712
0.187305;0.0762031;0.0762031;0.925027;0.925027;-4.16334e-17;0;0.000195313;4.44089e-17;4.44089e-17;0;49;41;0.206978
0.1875;0.076384;0.076384;0.926634;0.926634;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;50;41;0.207244
0.187695;0.0765651;0.0765651;0.928244;0.928244;-4.16334e-17;0;0.000195313;4.44089e-17;4.44089e-17;0;50;42;0.207511
0.187891;0.0767465;0.0767465;0.929858;0.929858;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;51;42;0.207777
0.188086;0.0769283;0.0769283;0.931475;0.931475;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;51;42;0.208044
0.188281;0.0771104;0.0771104;0.933096;0.933096;-2.77556e-17;2.22045e-16;0.000195313;2.38691e-16;2.96059e-17;2.36848e-16;51;42;0.208311
0.188477;0.0772928;0.0772928;0.93472;0.93472;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;51;42;0.208578
0.188672;0.0774755;0.0774755;0.936348;0.936348;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;51;42;0.208846
0.188867;0.0776586;0.0776586;0.937979;0.937979;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;51;42;0.209113
0.189062;0.0778419;0.0778419;0.939614;0.939614;-4.16334e-17;1.11022e-16;0.000195313;1.26477e-16;4.44089e-17;1.18424e-16;51;42;0.209381
0.189258;0.0780256;0.0780256;0.941253;0.941253;-4.16334e-17;0;0.000195313;4.44089e-17;4.44089e-17;0;51;43;0.209649
