xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.0140625;0.000394892;0.000394892;0.0561405;0.0561405;3.08998e-18;-1.31839e-16;0.000390625;1.40667e-16;3.29597e-18;1.40628e-16;8;0;0.0140699
0.0144531;0.000417126;0.000417126;0.0576994;0.0576994;2.98156e-18;-1.249e-16;0.000390625;1.33265e-16;3.18033e-18;1.33227e-16;8;0;0.0144611
0.0148438;0.000439969;0.000439969;0.0592584;0.0592584;2.81893e-18;-1.249e-16;0.000390625;1.33261e-16;3.00685e-18;1.33227e-16;8;0;0.0148524
0.0152344;0.000463422;0.000463422;0.0608176;0.0608176;2.81893e-18;-1.249e-16;0.000390625;1.33261e-16;3.00685e-18;1.33227e-16;8;0;0.0152438
0.015625;0.000487483;0.000487483;0.0623769;0.0623769;2.6563e-18;-1.31839e-16;0.000390625;1.40657e-16;2.83338e-18;1.40628e-16;8;0;0.0156351
0.0160156;0.000512154;0.000512154;0.0639363;0.0639363;2.49366e-18;-1.249e-16;0.000390625;1.33253e-16;2.65991e-18;1.33227e-16;8;0;0.0160265
0.0164063;0.000537433;0.000537433;0.0654959;0.0654959;2.49366e-18;-1.249e-16;0.000390625;1.33253e-16;2.65991e-18;1.33227e-16;8;0;0.016418
0.0167969;0.000563322;0.000563322;0.0670556;0.0670556;2.38524e-18;-1.38778e-16;0.000390625;1.48052e-16;2.54426e-18;1.4803e-16;8;0;0.0168095
0.0171875;0.00058982;0.00058982;0.0686155;0.0686155;2.27682e-18;-1.38778e-16;0.000390625;1.4805e-16;2.42861e-18;1.4803e-16;8;0;0.017201
0.0175781;0.000616928;0.000616928;0.0701757;0.0701757;2.1684e-18;-1.249e-16;0.000390625;1.33247e-16;2.31296e-18;1.33227e-16;8;0;0.0175925
0.0179687;0.000644645;0.000644645;0.071736;0.071736;1.95156e-18;-1.249e-16;0.000390625;1.33243e-16;2.08167e-18;1.33227e-16;8;0;0.0179842
0.0183594;0.000672972;0.000672972;0.0732965;0.0732965;1.84314e-18;-1.11022e-16;0.000390625;1.1844e-16;1.96602e-18;1.18424e-16;8;0;0.0183758
0.01875;0.000701908;0.000701908;0.0748573;0.0748573;1.73472e-18;-1.38778e-16;0.000390625;1.48041e-16;1.85037e-18;1.4803e-16;8;0;0.0187675
0.0191406;0.000731454;0.000731454;0.0764183;0.0764183;1.6263e-18;-1.249e-16;0.000390625;1.33238e-16;1.73472e-18;1.33227e-16;8;0;0.0191592
0.0195312;0.00076161;0.00076161;0.0779795;0.0779795;1.51788e-18;-1.249e-16;0.000390625;1.33237e-16;1.61908e-18;1.33227e-16;8;0;0.019551
0.0199219;0.000792376;0.000792376;0.0795411;0.0795411;1.40946e-18;-1.249e-16;0.000390625;1.33235e-16;1.50343e-18;1.33227e-16;8;0;0.0199429
0.0203125;0.000823751;0.000823751;0.0811028;0.0811028;1.30104e-18;-1.38778e-16;0.000390625;1.48036e-16;1.38778e-18;1.4803e-16;8;0;0.0203347
0.0207031;0.000855737;0.000855737;0.0826649;0.0826649;1.30104e-18;-1.249e-16;0.000390625;1.33234e-16;1.38778e-18;1.33227e-16;8;0;0.0207267
0.0210937;0.000888333;0.000888333;0.0842272;0.0842272;1.0842e-18;-1.249e-16;0.000390625;1.33232e-16;1.15648e-18;1.33227e-16;8;0;0.0211187
0.0214844;0.00092154;0.00092154;0.0857899;0.0857899;8.67362e-19;-1.249e-16;0.000390625;1.3323e-16;9.25186e-19;1.33227e-16;8;0;0.0215107
0.021875;0.000955357;0.000955357;0.0873529;0.0873529;8.67362e-19;-1.249e-16;0.000390625;1.3323e-16;9.25186e-19;1.33227e-16;8;0;0.0219028
