xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.001;1.99934e-06;1.99934e-06;0.00399803;0.00399803;1.49211e-15;-1.31015e-14;0.001;1.40653e-14;1.59158e-15;1.39749e-14;0;0;0.001
0.003;1.79826e-05;1.79826e-05;0.0119829;0.0119829;4.644e-14;-4.19827e-13;0.002;4.50547e-13;4.9536e-14;4.47816e-13;0;1;0.00300007
0.007;9.77904e-05;9.77904e-05;0.0279129;0.0279129;1.40541e-12;-1.34397e-11;0.004;1.44139e-11;1.4991e-12;1.43357e-11;0;2;0.00700086
0.015;0.000448149;0.000448148;0.0596559;0.0596559;4.01122e-11;-4.26753e-10;0.008;4.57209e-10;4.27863e-11;4.55203e-10;0;3;0.0150085
0.031;0.00190931;0.00190931;0.122998;0.122998;9.92149e-10;-1.30319e-08;0.016;1.39409e-08;1.05829e-09;1.39007e-08;0;4;0.0310751
0.047;0.0043863;0.0043863;0.186756;0.186756;4.90578e-10;-1.12137e-08;0.016;1.19727e-08;5.23284e-10;1.19612e-08;0;4;0.0472657
0.063;0.00789167;0.00789167;0.251673;0.251673;-1.50792e-10;-8.06896e-09;0.016;8.60839e-09;1.60845e-10;8.60689e-09;0;4;0.0636452
0.079;0.0124502;0.0124502;0.318545;0.318545;-1.09128e-09;-3.47045e-09;0.016;3.88051e-09;1.16403e-09;3.70181e-09;0;4;0.0802819
0.111;0.0248959;0.024896;0.461939;0.461939;-1.02659e-07;1.05415e-07;0.032;1.56954e-07;1.09503e-07;1.12443e-07;0;5;0.114617
0.127;0.0329103;0.0329103;0.540871;0.540871;-9.04524e-09;2.46521e-08;0.016;2.80097e-08;9.64826e-09;2.62956e-08;1;5;0.132512
0.143;0.042241;0.042241;0.626811;0.626811;-1.61291e-08;4.26438e-08;0.016;4.86316e-08;1.72044e-08;4.54867e-08;1;5;0.151034
0.159;0.053018;0.053018;0.722124;0.722124;-2.90098e-08;6.79613e-08;0.016;7.88202e-08;3.09438e-08;7.24921e-08;1;5;0.170325
0.175;0.0654165;0.0654166;0.830177;0.830177;-5.37392e-08;1.01452e-07;0.016;1.2246e-07;5.73218e-08;1.08216e-07;1;5;0.190567
0.183;0.0722959;0.0722959;0.890468;0.890468;-2.93197e-09;5.84723e-09;0.008;6.97722e-09;3.12743e-09;6.23704e-09;2;5;0.201118
0.191;0.0796781;0.0796781;0.956033;0.956033;-4.17723e-09;7.19408e-09;0.008;8.87349e-09;4.45571e-09;7.67368e-09;2;5;0.212003
0.199;0.0876094;0.0876095;1.02799;1.02799;-6.08086e-09;8.61286e-09;0.008;1.1246e-08;6.48625e-09;9.18705e-09;2;5;0.223269
