xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
9.76563e-05;7.62928e-08;7.62928e-08;0.00156246;0.00156246;4.20075e-19;-1.36609e-16;9.76563e-05;1.45717e-16;4.4808e-19;1.45717e-16;10;0;9.76563e-05
0.000195313;3.05167e-07;3.05167e-07;0.00312486;0.00312486;3.93394e-19;-1.36176e-16;9.76563e-05;1.45255e-16;4.1962e-19;1.45254e-16;10;0;0.000195313
0.000292969;6.86616e-07;6.86616e-07;0.00468721;0.00468721;3.66659e-19;-1.37043e-16;9.76563e-05;1.4618e-16;3.91103e-19;1.46179e-16;10;0;0.00029297
0.000390625;1.22064e-06;1.22064e-06;0.00624951;0.00624951;3.40084e-19;-1.36176e-16;9.76563e-05;1.45255e-16;3.62756e-19;1.45254e-16;10;0;0.000390628
0.000488281;1.90722e-06;1.90722e-06;0.00781178;0.00781178;3.13402e-19;-1.36176e-16;9.76563e-05;1.45255e-16;3.34296e-19;1.45254e-16;10;0;0.000488286
0.000585937;2.74637e-06;2.74637e-06;0.00937404;0.00937404;2.86721e-19;-1.35308e-16;9.76563e-05;1.44329e-16;3.05835e-19;1.44329e-16;10;0;0.000585946
0.000683594;3.73809e-06;3.73809e-06;0.0109363;0.0109363;2.60463e-19;-1.35308e-16;9.76563e-05;1.44329e-16;2.77827e-19;1.44329e-16;10;0;0.000683607
0.00078125;4.88237e-06;4.88237e-06;0.0124985;0.0124985;2.33781e-19;-1.35308e-16;9.76563e-05;1.44329e-16;2.49366e-19;1.44329e-16;10;0;0.00078127
0.000878906;6.17921e-06;6.17921e-06;0.0140608;0.0140608;2.06676e-19;-1.35308e-16;9.76563e-05;1.44329e-16;2.20454e-19;1.44329e-16;10;0;0.000878935
0.000976562;7.62862e-06;7.62862e-06;0.0156231;0.0156231;1.80418e-19;-1.35308e-16;9.76563e-05;1.44329e-16;1.92446e-19;1.44329e-16;10;0;0.000976602
0.00107422;9.2306e-06;9.2306e-06;0.0171854;0.0171854;1.5416e-19;-1.35308e-16;9.76563e-05;1.44329e-16;1.64437e-19;1.44329e-16;10;0;0.00107427
0.00117187;1.09851e-05;1.09851e-05;0.0187478;0.0187478;1.27055e-19;-1.35308e-16;9.76563e-05;1.44329e-16;1.35525e-19;1.44329e-16;10;0;0.00117194
0.00126953;1.28923e-05;1.28923e-05;0.0203102;0.0203102;9.99499e-20;-1.35308e-16;9.76563e-05;1.44329e-16;1.06613e-19;1.44329e-16;10;0;0.00126962
0.00136719;1.4952e-05;1.4952e-05;0.0218728;0.0218728;7.11508e-20;-1.31839e-16;9.76563e-05;1.40628e-16;7.58942e-20;1.40628e-16;10;0;0.0013673
0.00146484;1.71643e-05;1.71643e-05;0.0234353;0.0234353;4.74338e-20;-1.35308e-16;9.76563e-05;1.44329e-16;5.05961e-20;1.44329e-16;10;0;0.00146498
0.0015625;1.95292e-05;1.95292e-05;0.024998;0.024998;2.03288e-20;-1.35308e-16;9.76563e-05;1.44329e-16;2.1684e-20;1.44329e-16;10;0;0.00156266
0.00166016;2.20467e-05;2.20467e-05;0.0265608;0.0265608;-6.77626e-21;-1.35308e-16;9.76563e-05;1.44329e-16;7.22801e-21;1.44329e-16;10;0;0.00166035
0.00175781;2.47169e-05;2.47169e-05;0.0281238;0.0281238;-3.38813e-20;-1.35308e-16;9.76563e-05;1.44329e-16;3.61401e-20;1.44329e-16;10;0;0.00175804
0.00185547;2.75397e-05;2.75397e-05;0.0296868;0.0296868;-6.09864e-20;-1.35308e-16;9.76563e-05;1.44329e-16;6.50521e-20;1.44329e-16;10;0;0.00185574
0.00195313;3.05151e-05;3.05151e-05;0.03125;0.03125;-9.14796e-20;-1.38778e-16;9.76563e-05;1.4803e-16;9.75782e-20;1.4803e-16;10;0;0.00195344
0.00205078;3.36432e-05;3.36432e-05;0.0328133;0.0328133;-1.15196e-19;-1.31839e-16;9.76563e-05;1.40628e-16;1.22876e-19;1.40628e-16;10;0;0.00205115
0.00214844;3.69239e-05;3.69239e-05;0.0343768;0.0343768;-1.42302e-19;-1.31839e-16;9.76563e-05;1.40628e-16;1.51788e-19;1.40628e-16;10;0;0.00214886
0.00224609;4.03574e-05;4.03574e-05;0.0359405;0.0359405;-1.69407e-19;-1.31839e-16;9.76563e-05;1.40628e-16;1.807e-19;1.40628e-16;10;0;0.00224658
0.00234375;4.39436e-05;4.39436e-05;0.0375044;0.0375044;-1.96512e-19;-1.31839e-16;9.76563e-05;1.40628e-16;2.09612e-19;1.40628e-16;10;0;0.0023443
0.00244141;4.76825e-05;4.76825e-05;0.0390684;0.0390684;-2.23617e-19;-1.249e-16;9.76563e-05;1.33227e-16;2.38524e-19;1.33227e-16;10;0;0.00244203
0.00253906;5.15741e-05;5.15741e-05;0.0406327;0.0406327;-2.50722e-19;-1.31839e-16;9.76563e-05;1.40629e-16;2.67437e-19;1.40628e-16;10;0;0.00253976
0.00263672;5.56186e-05;5.56186e-05;0.0421972;0.0421972;-2.77827e-19;-1.31839e-16;9.76563e-05;1.40629e-16;2.96349e-19;1.40628e-16;10;0;0.0026375
0.00273438;5.98158e-05;5.98158e-05;0.0437619;0.0437619;-2.98156e-19;-1.31839e-16;9.76563e-05;1.40629e-16;3.18033e-19;1.40628e-16;10;0;0.00273525
0.00283203;6.41658e-05;6.41658e-05;0.0453269;0.0453269;-3.25261e-19;-1.31839e-16;9.76563e-05;1.40629e-16;3.46945e-19;1.40628e-16;10;0;0.002833
0.00292969;6.86687e-05;6.86687e-05;0.0468921;0.0468921;-3.65918e-19;-1.38778e-16;9.76563e-05;1.4803e-16;3.90313e-19;1.4803e-16;10;0;0.00293076
0.00302734;7.33245e-05;7.33245e-05;0.0484576;0.0484576;-4.06576e-19;-1.249e-16;9.76563e-05;1.33227e-16;4.33681e-19;1.33227e-16;10;0;0.00302853
0.003125;7.81331e-05;7.81331e-05;0.0500234;0.0500234;-4.20128e-19;-1.249e-16;9.76563e-05;1.33228e-16;4.48137e-19;1.33227e-16;10;0;0.0031263
0.00322266;8.30947e-05;8.30947e-05;0.0515895;0.0515895;-4.60786e-19;-1.31839e-16;9.76563e-05;1.40629e-16;4.91505e-19;1.40628e-16;10;0;0.00322408
0.00332031;8.82092e-05;8.82092e-05;0.0531558;0.0531558;-4.74338e-19;-1.31839e-16;9.76563e-05;1.40629e-16;5.05961e-19;1.40628e-16;10;0;0.00332187
0.00341797;9.34767e-05;9.34767e-05;0.0547225;0.0547225;-5.01444e-19;-1.31839e-16;9.76563e-05;1.40629e-16;5.34873e-19;1.40628e-16;10;0;0.00341967
0.00351563;9.88972e-05;9.88972e-05;0.0562895;0.0562895;-5.28549e-19;-1.249e-16;9.76563e-05;1.33228e-16;5.63785e-19;1.33227e-16;10;0;0.00351748
0.00361328;0.000104471;0.000104471;0.0578569;0.0578569;-5.55654e-19;-1.38778e-16;9.76563e-05;1.48031e-16;5.92697e-19;1.4803e-16;10;0;0.00361529
0.00371094;0.000110197;0.000110197;0.0594246;0.0594246;-5.96311e-19;-1.31839e-16;9.76563e-05;1.4063e-16;6.36065e-19;1.40628e-16;10;0;0.00371312
0.00380859;0.000116077;0.000116077;0.0609926;0.0609926;-6.23416e-19;-1.31839e-16;9.76563e-05;1.4063e-16;6.64977e-19;1.40628e-16;10;0;0.00381095
0.00390625;0.00012211;0.00012211;0.062561;0.062561;-6.50521e-19;-1.249e-16;9.76563e-05;1.33229e-16;6.93889e-19;1.33227e-16;10;0;0.00390879
0.00400391;0.000128296;0.000128296;0.0641298;0.0641298;-6.77626e-19;-1.249e-16;9.76563e-05;1.33229e-16;7.22801e-19;1.33227e-16;10;0;0.00400665
