xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.028125;0.000784206;0.000784206;0.0555445;0.0555445;4.52112e-17;-6.93889e-17;0.00078125;8.83396e-17;4.82253e-17;7.40149e-17;7;0;0.0281395
0.0289063;0.000828196;0.000828196;0.0570696;0.0570696;4.49944e-17;-7.63278e-17;0.00078125;9.45095e-17;4.7994e-17;8.14164e-17;7;0;0.028922
0.0296875;0.000873377;0.000873377;0.058594;0.058594;4.47775e-17;-6.93889e-17;0.00078125;8.80879e-17;4.77627e-17;7.40149e-17;7;0;0.0297046
0.0304688;0.000919748;0.000919748;0.0601175;0.0601175;4.45607e-17;-7.63278e-17;0.00078125;9.42754e-17;4.75314e-17;8.14164e-17;7;0;0.0304872
0.03125;0.00096731;0.00096731;0.0616402;0.0616402;4.43439e-17;-7.63278e-17;0.00078125;9.4159e-17;4.73001e-17;8.14164e-17;7;0;0.0312699
0.0320313;0.00101606;0.00101606;0.0631621;0.0631621;4.42354e-17;-6.93889e-17;0.00078125;8.77757e-17;4.71845e-17;7.40149e-17;7;0;0.0320527
0.0328125;0.001066;0.001066;0.0646832;0.0646832;4.38018e-17;-6.93889e-17;0.00078125;8.75279e-17;4.67219e-17;7.40149e-17;7;0;0.0328355
0.0335938;0.00111713;0.00111713;0.0662036;0.0662036;4.35849e-17;-6.93889e-17;0.00078125;8.74047e-17;4.64906e-17;7.40149e-17;7;0;0.0336184
0.034375;0.00116944;0.00116944;0.0677231;0.0677231;4.35849e-17;-8.32667e-17;0.00078125;1.0025e-16;4.64906e-17;8.88178e-17;7;0;0.0344014
0.0351562;0.00122295;0.00122295;0.0692419;0.0692419;4.33681e-17;-8.32667e-17;0.00078125;1.00143e-16;4.62593e-17;8.88178e-17;7;0;0.0351845
0.0359375;0.00127763;0.00127763;0.07076;0.07076;4.31512e-17;-6.93889e-17;0.00078125;8.71595e-17;4.6028e-17;7.40149e-17;7;0;0.0359677
0.0367187;0.00133351;0.00133351;0.0722773;0.0722773;4.27176e-17;-6.93889e-17;0.00078125;8.69161e-17;4.55654e-17;7.40149e-17;7;0;0.0367509
